"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","OID_","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"301","All Fire","14940_63_65_66",0.0012218,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1502,0.419608,55270,0,67.528886
"302","All Fire","14940_63_65_66",0.0012218,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1560,0.419608,104,0,0.1270672
"303","All Fire","14940_64",0.0012476,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1524,0.419608,6576,0,8.2042176
"304","All Fire","14950_31_39_40",0.0494932,"Western Great Plains Depressional Wetland Systems",1220,0.611765,4100,0,202.92212
"305","All Fire","15090_45_47",0.0225698,"Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest",1652,0.321569,128,0,2.8889344
"306","All Fire","15170_42_49_50",0.0836212,"Paleozoic Plateau Bluff and Talus",1151,0,1135860,0.4,94981.976232
"307","All Fire","15170_42_49_50",0.0836212,"Paleozoic Plateau Bluff and Talus",1597,0,823,0,68.8202476
"308","All Fire","15170_42_49_50",0.0836212,"Paleozoic Plateau Bluff and Talus",1693,0,39753,0,3324.1935636
"309","All Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",1481,0.14902,198097,0.1,198.2158582
"310","All Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",1525,0.14902,305905,0.1,306.088543
"311","All Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",1539,0.14902,310577,0.1,310.7633462
"312","All Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",1653,0.14902,347696,0.1,347.9046176
"313","All Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",1470,0.14902,97291,0,97.3493746
"314","All Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",1503,0.14902,92367,0,92.4224202
"315","All Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",1598,0.14902,117714,0,117.7846284
"316","All Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",1613,0.14902,2,0,0.0020012
"317","All Fire","15260_64_65_66",0.0009616,"Laurentian-Acadian Swamp Systems",1504,1,36399,0,35.0012784
"318","All Fire","15260_64_65_66",0.0009616,"Laurentian-Acadian Swamp Systems",1526,1,109650,0,105.43944
"319","All Fire","15260_64_65_66",0.0009616,"Laurentian-Acadian Swamp Systems",1561,1,1839,0,1.7683824
"320","All Transitions","11620_31_39_40",0.0911832,"Western Great Plains Floodplain Systems",1207,0.803922,139,0,12.6744648
"321","All Transitions","13010_40",0.0236062,"Boreal Aspen-Birch Forest",1208,0.219608,81593,0,1926.1006766
"322","All Transitions","13020_40",0.0016138,"Laurentian-Acadian Northern Hardwoods Forest",1209,0,201,0,0.3243738
"323","All Transitions","13020_63",0.0018532,"Laurentian-Acadian Northern Hardwoods Forest",1452,0,7531096,2.8,13956.6271072
"324","All Transitions","13020_64",0.0018594,"Laurentian-Acadian Northern Hardwoods Forest",1505,0,5656207,2.1,10517.1512958
"325","All Transitions","13020_65_66",0.0197588,"Laurentian-Acadian Northern Hardwoods Forest",1482,0,196517,0.1,3882.9400996
"326","All Transitions","13020_65_66",0.0197588,"Laurentian-Acadian Northern Hardwoods Forest",1540,0,1292,0,25.5283696
"327","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1176,0,5256252,1.9,9390.8198232
"328","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1126,0,4963888,1.8,8868.4823008
