"","OID_","Value","Count","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"78",1450,1888,4276179,14720,61,"14720_61_62_63","Central Interior and Appalachian Riparian Systems","Riparian",1001,-9999,200,166,17,-9999,83,"III-B",36,255,20,0.141176,1,0.078431,950999,0.3
"79",1478,1916,4043387,14720,62,"14720_61_62_63","Central Interior and Appalachian Riparian Systems","Riparian",1001,-9999,200,166,17,-9999,83,"III-B",36,255,20,0.141176,1,0.078431,899228,0.3
"80",1508,1946,3743748,13620,64,"13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",309,447,65,48,16,11,73,"III-A",255,191,191,1,0.74902,0.74902,832590,0.3
"81",1535,1973,4057970,14710,52,"14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,426,68,59,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,902471,0.3
"82",1681,2119,3588859,13140,42,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,-9999,857,467,46,-9999,54,"V-A",237,161,102,0.929412,0.631373,0.4,798143,0.3
"83",1686,2124,4057363,14200,42,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,-9999,-9999,6,100,-9999,-9999,"II-B",184,132,29,0.721569,0.517647,0.113725,902336,0.3
"84",1128,1563,2558887,13100,50,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",123,49,76,24,20,48,32,"I-C",176,163,222,0.690196,0.639216,0.870588,569083,0.2
"85",1133,1569,2410684,13660,50,"13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",483,1018,291,154,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,536123,0.2
"86",1135,1571,2977965,13950,50,"13950_50","North-Central Oak Barrens","Hardwood",53,143,6,5,9,4,87,"I-A",255,235,176,1,0.921569,0.690196,662283,0.2
"87",1136,1572,1965994,14071,50,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,4,6,90,"I-A",153,66,0,0.6,0.258824,0,437227,0.2
"88",1139,1575,2198919,14120,50,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,489028,0.2
"89",1159,1597,2540756,13652,41,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,-9999,516,55,45,-9999,"V-B",110,137,70,0.431373,0.537255,0.27451,565051,0.2
"90",1162,1600,2501596,13950,41,"13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921569,0.690196,556342,0.2
"91",1165,1603,3016992,14120,41,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,670963,0.2
"92",1169,1607,2298879,14750,41,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,511258,0.2
